time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.156236642036,0.154628056631,12.2467575577,0.083956651163,0.0596126650681,0.0,-0.427248432478,0.475712059525,3.21378697025,0.0459885694564,0.045397225233,0.0,493.951956714524,493.6849135773206,493.8724247031018,493.95912952555557
1.3800000000000008,-0.183223487082,0.185060538072,12.444261518,0.0861677146843,0.0627524075841,0.0,-0.472613988147,0.53894884787,3.36916032084,0.00362754093597,0.0634672583892,0.0,464.4458660146645,465.86257168731214,466.85207241121145,463.53540440450774
1.4400000000000008,-0.212831438662,0.219086672313,12.6483267773,0.0866648717943,0.0664286174514,0.0,-0.514669744333,0.595265563126,3.43277302217,0.0162708496861,0.0564700865685,0.0,438.21277880224574,437.6334565064223,436.99947529456335,438.0520524860295
1.5000000000000009,-0.245305953565,0.256852422772,12.8602229935,0.0873110554343,0.0704381791539,0.0,-0.568211913159,0.663626456996,3.62975428322,-0.0034851779375,0.0820688805111,0.0,478.86658668296866,480.81278036254804,479.1034137763201,477.5988328805643
1.560000000000001,-0.28068550746,0.298229450437,13.078232854,0.0868772764451,0.0750968928992,0.0,-0.611532126449,0.71556569164,3.6371602026,-0.0160302681761,0.0668819455109,0.0,421.52467633785744,420.2152215857967,422.4104498630909,421.32725304634204
1.620000000000001,-0.319142394303,0.343162629252,13.3018849195,0.0856511170157,0.0790700596644,0.0,-0.67077647018,0.782018085638,3.81725882181,-0.0311521109428,0.0648610784057,0.0,476.5628107997053,476.41124517245044,475.4208179022433,474.26073468214673
1.680000000000001,-0.361331695109,0.39213919952,13.5374015494,0.083793247079,0.082546854527,0.0,-0.735922587694,0.850231853846,4.03249744678,-0.0305919559305,0.0382022265614,0.0,489.19414460553713,487.20678130768425,486.2222265968664,486.2639562352253
1.740000000000001,-0.407079120618,0.444731194504,13.7806912005,0.0819154010836,0.0849678964545,0.0,-0.789204021013,0.902631136884,4.07696273537,-0.0327468149568,0.0443333026117,0.0,435.897416063219,436.4103887382818,437.62897541443016,437.4492001353014
1.8000000000000012,-0.456247355411,0.500594705747,14.0286829102,0.0801044574242,0.0879318843131,0.0,-0.849999911618,0.959239047116,4.18897261683,-0.0254928925711,0.0579781702169,0.0,456.98898030823915,458.0768288348951,459.1837241889437,459.75858997365094
1.8600000000000012,-0.509057125642,0.559748653339,14.2825604872,0.0787659377769,0.0922135772471,0.0,-0.910696969358,1.01237223103,4.27323341802,-0.0165998766611,0.0897207663067,0.0,450.3889763517039,452.9527654387531,449.72320955946344,450.4429904884893
